%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1480963705104379438,126,1480963705073693037,/gps,0,1,42.2932863333,-71.2637743333,33.4,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963706104579671,127,1480963706081113100,/gps,0,1,42.2932838333,-71.2637793333,32.9,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963707104716026,128,1480963707076503038,/gps,0,1,42.2932805,-71.2637816667,32.3,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963708105356506,129,1480963708074872970,/gps,0,1,42.293277,-71.2637895,32.1,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963709105565585,130,1480963709075906038,/gps,0,1,42.2932716667,-71.2637933333,31.9,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963710105919175,131,1480963710076935052,/gps,0,1,42.2932651667,-71.2637971667,31.5,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963711106105851,132,1480963711076266050,/gps,0,1,42.293259,-71.263803,31.5,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963712106499485,133,1480963712080796957,/gps,0,1,42.2932533333,-71.2638098333,31.5,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963713107104303,134,1480963713073857069,/gps,0,1,42.2932481667,-71.263818,31.4,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963714107264823,135,1480963714075685024,/gps,0,1,42.2932428333,-71.2638271667,31.2,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963715107436009,136,1480963715075350046,/gps,0,1,42.2932385,-71.2638371667,31.1,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963716074109148,137,1480963716072770118,/gps,0,1,42.2932346667,-71.2638475,31.1,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963717074473805,138,1480963717075061082,/gps,0,1,42.2932305,-71.2638575,31.2,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963718082353658,139,1480963718079880952,/gps,0,1,42.2932273333,-71.2638671667,31.1,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963719086368061,140,1480963719085916996,/gps,0,1,42.2932251667,-71.263877,31.2,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963720086745341,141,1480963720078835964,/gps,0,1,42.2932221667,-71.263884,31.3,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963721087056960,142,1480963721074385881,/gps,0,1,42.2932181667,-71.2638926667,31.2,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963722087322598,143,1480963722073995113,/gps,0,1,42.2932133333,-71.2639013333,31.5,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963723087567783,144,1480963723073694944,/gps,0,1,42.2932091667,-71.2639106667,31.3,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1480963724088243405,145,1480963724075721979,/gps,0,1,42.2932051667,-71.2639208333,31.1,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
1480963725088633186,146,1480963725076009035,/gps,0,1,42.2932028333,-71.2639313333,31.0,1.8496,0.0,0.0,0.0,1.8496,0.0,0.0,0.0,7.3984,1
